IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	Subcategoría	Categoría
594	Montaña-500 Plateado, 48	Plateado	564,99	48	48-52 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
223	AWC Gorra con Logo	Múltiple	8,6442		NA	S	Gorra de ciclismo	Gorras	Ropa
387	Ruta-550-W Amarillo, 44	Amarillo	1000,4375	44	42-46 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
285	LL Ruta Marco - Negro, 52	Negro	297,6346	52	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
171	Pintura - Negro	NA	null		NA			null	null
295	HL Montaña Marco - Plateado, 46	Plateado	1364,5	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
438	HL Ruta Marco - Negro, 62	Negro	1431,5	62	60-62 CM	R	HL Ruta Marco	Ruta Marco	Componentes
376	Ruta-250 Negro, 48	Negro	2443,35	48	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
280	LL Ruta Marco - Negro, 44	Negro	306,5636	44	42-46 CM	R	LL Ruta Marco	Ruta Marco	Componentes
2	Bola de rodamiento	NA	null		NA			null	null
258	LL Ruta Marco - Negro, 60	Negro	337,22	60	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
209	Cambio trasero Jaula	Plateado	null		NA			null	null
